image_path,label
ml_models/training/data/images/img_0.jpg,0
ml_models/training/data/images/img_1.jpg,1
ml_models/training/data/images/img_2.jpg,0
ml_models/training/data/images/img_3.jpg,1
ml_models/training/data/images/img_4.jpg,0
ml_models/training/data/images/img_5.jpg,1
ml_models/training/data/images/img_6.jpg,0
ml_models/training/data/images/img_7.jpg,1
ml_models/training/data/images/img_8.jpg,0
ml_models/training/data/images/img_9.jpg,1
ml_models/training/data/images/img_10.jpg,0
ml_models/training/data/images/img_11.jpg,1
ml_models/training/data/images/img_12.jpg,0
ml_models/training/data/images/img_13.jpg,1
ml_models/training/data/images/img_14.jpg,0
ml_models/training/data/images/img_15.jpg,1
ml_models/training/data/images/img_16.jpg,0
ml_models/training/data/images/img_17.jpg,1
ml_models/training/data/images/img_18.jpg,0
ml_models/training/data/images/img_19.jpg,1
